id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_653;0;GmbH & Co. KG;12359;46730;1900;;GKV;106873831.7;106873831.7;38593611.75;6536077.55;1345910.44;47945.82;423412.24;7881987.99;7881987.99;6522577.26;43658480.44;7356606.44;3752193.76;255645.94;;;;4120064.34;;;;;;32244714.3;37831990.81;17111465.66;10297047.5;;;6986093.74;-1112341.58;-7520392.09
C_439;0;GmbH & Co. KG;10719;70101;1976;;GKV;1393868.78;1407888.53;1539841.18;38140.91;1072009.59;9934.29;4372.31;1110150.5;1106812.71;1116985.09;11567989.44;7034963.92;0.0;0.0;;;;;;;;;;4508025.52;4669178.63;927837.74;926383.75;;;-4343980.49;1174426.51;1128108.08
C_891;0;GmbH;13353;87100;1962;323.0;GKV;3864033.84;759735.32;15008391.0;89799.8;2983.44;2983.44;;92783.24;92783.24;-1.4e-09;55111454.07;8443591.88;14016.15;0.0;;;;5348013.09;;;;;;51640.48;28101189.79;11116958.92;9146283.79;617816.28;;9548543.85;-7536443.53;-22026.07
C_147;0;Einzelfirma;12165;47730;1908;;GKV;110447820.8;110447820.8;125454998.7;54033808.08;-10293209.88;62152.95;10641194.38;43740598.2;43740598.2;28405998.52;1089218061.0;347515965.3;164735236.8;92222172.0;37432969.2;138192039.3;92222172.0;13968005.91;;;;;;454744489.7;35465651.58;8545183.94;5036615.09;516646.73;;130180923.1;-141977592.3;12567030.8
C_207;0;GmbH;14089;69204;1986;;GKV;728946.68;728946.68;209721.36;45390.5;-6674.16;;6674.16;38716.34;38716.34;36624.55;214860.19;122157.49;92702.7;0.0;42770.5;;;50924.41;;;;;;;64195.98;28659.19;5598.17;;;52632.64;-534.87;-54578.91
C_980;0;GmbH;13055;68201;1990;415.0;GKV;45180.42;45180.42;48477.05;22382.91;147.65;;2.77;22530.56;22530.56;15522.86;85195.0;5661.13;0.0;0.0;;;;;;;;;;79533.87;84847.7;80615.11;75679.79;;;18004.97;-378.71;0.0
C_577;0;GmbH;10969;68200;1991;2.0;GKV;150843501.3;147989371.3;107635928.5;47292997.11;-6693591.13;73961.45;11414398.77;40599405.98;40599405.98;29469951.72;1026294931.0;101671995.1;108761788.0;150123607.3;26577708.38;108614666.7;150123607.3;2949596.57;147121.35;;;;;665737540.8;84799087.11;31428071.92;11542490.91;326731.07;8000.0;40075554.85;-8337054.5;-34594274.52
C_401;0;GmbH;16792;78100;1991;;GKV;284342000.0;284342000.0;42335000.0;-134047000.0;810891000.0;891000.0;15925000.0;676844000.0;676844000.0;634226000.0;3202392000.0;285171000.0;503500.0;0.0;382000.0;;;6790000.0;;;;;;2883814000.0;422909000.0;431255000.0;21696000.0;448000.0;;586177000.0;-733975000.0;-95826000.0
C_132;0;GmbH;14059;86101;1993;505.0;GKV;26025323.61;26015542.03;22022993.85;2086104.36;207389.42;207389.42;;2293493.78;2293493.78;2285323.24;37399300.99;4582487.49;0.0;0.0;;;;880043.46;;;;;;13733666.5;14504753.93;3441491.02;322075.13;3034766.29;;2862349.65;-667342.46;-2091455.69
C_904;0;GmbH;10437;87100;1995;82.0;GKV;1105332.48;1105332.48;717405.05;88074.8;-31.08;26.26;57.34;88043.72;88043.72;60053.41;483214.17;94976.22;3123.5;0.0;;;;18582.32;;;;;;381990.95;371506.04;343269.12;256395.19;;;156251.71;-57344.11;-1.16e-10
C_447;0;GmbH;12681;71122;1999;;GKV;138459.52;138459.52;314703.03;170487.91;-1878.61;21980.74;23859.35;168609.3;168609.3;163542.42;2250866.32;698061.22;0.0;0.0;350566.8;;;689.06;;;;;;1552805.1;496696.93;45009.43;35726.57;;;194753.98;331830.61;-798859.83
C_696;0;GmbH;10997;47250;2001;;GKV;16193391.99;16193391.99;15489681.88;677798.86;76119.14;31798.06;46230.47;753918.0;753918.0;750000.0;21253492.42;2865310.26;363965.01;56163.78;;;;146773.04;;;;;;10750000.0;4472083.15;3729290.71;3425482.38;;;832535.95;502786.28;-4.66e-09
C_129;0;GmbH;14943;96090;2002;22.0;GKV;51995424.22;51979901.95;46420844.34;5956777.13;-775748.25;11095.34;819785.83;5181028.88;5181028.88;5104827.2;42673435.4;7617142.03;13684030.37;6275457.0;2000000.0;8000000.0;5661000.0;1685808.78;;;;;;6828494.53;18909648.9;15619860.6;6720068.91;8847966.22;;5696079.15;-1418555.39;-4163970.88
C_621;0;GmbH & Co. KG;12529;96090;2003;57.0;GKV;827865.14;828495.69;384088.09;17479.94;-9914.33;;9914.33;7565.61;7565.61;5969.24;412521.86;143859.45;146956.0;0.0;41805.37;;;71677.28;;;;;;121706.41;293632.6;60254.02;20855.93;;;-33825.57;-49189.78;57316.96
C_186;0;GmbH & Co. KG;12529;82999;2003;218.0;GKV;3754118.16;3754118.16;3576638.79;218364.8;-40232.66;4707.11;44939.77;178132.14;185134.73;185134.73;4541952.49;924320.32;435563.19;1745275.83;96145.54;435563.19;1745275.83;10654.66;;;;;;1436744.18;1120396.47;1119498.76;1053844.19;54952.61;;330553.9;-15824.59;-96145.54
C_083;0;GmbH;12557;46320;2003;;GKV;3050059.62;3050059.62;2703635.82;-47014.34;56196.84;56196.84;;9182.5;9182.5;9182.5;3063375.49;3063375.49;0.0;0.0;;;;;;;;;;0.0;323861.47;192001.9;70449.58;;;-87708.11;-7788.16;-105334.41
C_224;0;GmbH;10117;70220;1990;71.0;GKV;553921.37;553921.37;512309.33;86356.8;-12876.99;;12876.99;73479.81;73479.81;55100.24;1085765.94;161713.32;0.0;891248.5;;;688816.48;8397.88;;;;;;32804.12;123350.71;220330.44;80650.31;33879.4;;121372.97;-284636.08;212544.91
C_320;0;GmbH;14467;81100;2005;487.0;GKV;298211.68;298211.68;298294.9;28915.11;-26221.62;;26221.62;2693.49;2693.49;2693.49;1233117.4;1233117.4;0.0;0.0;;;;28017.09;;;;;;;354796.8;355890.97;332485.42;;;13657.69;0.0;-811700.0
C_662;0;GmbH;13587;88101;2006;454.0;GKV;18501197.54;18501197.54;1308849.82;251315.86;-26573.98;82.48;26656.46;224741.88;224741.88;151891.46;2536228.67;900015.25;476097.36;0.0;211794.08;;;646374.67;;;;;;1160116.06;2313610.67;882746.83;92873.22;;;579997.87;0.0;-560042.41
C_736;0;GmbH;12051;46165;2008;;GKV;1344384.99;1344384.99;720460.86;162729.06;;;;162729.06;162729.06;0.0;311205.92;286205.92;0.0;0.0;;;;;;;;;;25000.0;311205.92;184568.57;182326.71;;;158068.74;0.0;-87093.64
C_321;0;GmbH;14482;41000;2008;;GKV;20053814.23;20053814.23;10552042.66;728426.61;-192766.77;0.96;192767.73;535659.84;535659.84;467427.81;12566273.56;11566273.56;0.0;0.0;;;;1292949.86;;;;;;1000000.0;4511767.92;2048205.75;;;;4587743.9;-4176259.9;-411484.0
C_445;0;GmbH;10625;68100;2010;;GKV;10365544.05;10365544.05;7931366.2;565338.94;4854.88;6067.72;1212.84;570193.82;570193.82;568724.9;9713329.26;844831.6;45064.59;0.0;;;;231622.67;;;;;;8823433.07;7715921.82;7749440.79;6802934.01;855343.08;;1051697.31;-366425.37;-5398.26
C_385;0;Genossenschaft;49413;46610;1919;33.0;GKV;642247.84;1142247.84;579004.16;127198.4;-2000.68;5.69;2006.37;125197.72;125197.72;90613.32;1889096.66;1677987.76;0.0;0.0;;;;976.51;;;;;;211108.9;1814395.33;309832.07;276332.99;;;197604.59;-21474.41;-82.19
C_434;0;GmbH & Co. KG;27419;46520;2006;;GKV;59754.62;59754.62;27059.95;456.99;-438.15;4746.35;5184.5;18.84;18.84;970.78;286561.21;7957.91;1100.0;0.0;;;;;;;;;;277503.3;263313.71;47413.98;15010.7;;;99409.52;-1538.01;-86007.65
C_413;0;GmbH;25855;8120;2000;58.0;GKV;7721180.96;7740332.96;7152818.98;607782.65;-140466.21;8587.17;149053.38;467316.44;467316.44;253758.29;3726982.66;1906666.23;683487.45;442452.9;965078.88;683487.45;442452.9;388716.18;;;;;;694376.08;1009952.3;994693.15;40930.75;;;390965.9;-341578.5;41287.63
C_188;0;GmbH & Co. KG;25923;47192;2004;;GKV;15533167.35;15533167.35;15145076.32;64078.01;-1520.66;;1520.66;62557.35;62557.35;0.0;2283566.81;2258566.81;0.0;0.0;;;;106388.58;;;;;;25000.0;2025590.97;1784614.08;51390.83;61392.65;;-1057950.87;-157123.74;1075131.83
